Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Churned,Signup_Quarter
32.0,Female,Germany,Munich,0.1,6.0,20.3,6.9,51.3,4.0,7.0,109.86,7.0,,12.0,9.9,9.0,0.0,34.3,,1.0,886.08,1668.0,0,Q3
32.0,Male,Canada,Calgary,3.4,9.0,21.0,6.7,56.7,4.0,10.4,144.91,12.0,52.08,2.7,,7.0,4.0,46.4,15.7,2.0,1022.1,,0,Q4
50.0,Female,Germany,Cologne,1.7,14.0,31.1,10.6,48.0,2.0,17.0,136.6,45.0,49.0,10.7,33.9,4.0,4.0,14.1,24.6,1.0,2770.19,2484.0,0,Q1
30.0,Female,India,Chennai,4.1,8.0,31.1,12.7,51.2,4.0,14.0,50.83,29.0,72.9,2.1,26.5,5.0,5.0,,25.4,5.0,639.25,3231.0,0,Q1
39.0,Male,Canada,Ottawa,0.5,9.0,16.4,5.4,61.6,3.0,7.0,146.86,22.0,54.5,2.6,17.0,8.0,2.0,20.9,21.1,5.0,913.55,1817.0,0,Q2
45.0,Male,India,Bangalore,0.4,14.0,30.5,10.2,52.3,3.0,10.0,178.31,,42.1,,19.3,5.0,5.0,37.6,24.5,1.0,1546.04,,0,Q2
49.0,Male,Germany,Berlin,4.3,15.0,26.6,8.0,71.8,6.0,10.0,136.54,2.0,34.0,1.4,13.2,7.0,,48.0,20.1,,1599.89,3327.0,0,Q3
35.0,Female,France,Nice,6.9,2.0,13.6,6.1,53.2,0.0,9.0,82.26,40.0,82.2,2.1,0.0,5.0,2.0,3.1,11.7,2.0,850.8,1059.0,0,Q2
48.0,Male,USA,Houston,1.7,11.0,29.7,8.4,62.9,6.0,10.0,95.37,58.0,43.7,3.4,6.6,3.0,3.0,21.1,28.1,1.0,1061.1,1072.0,0,Q3
42.0,Male,UK,Birmingham,0.2732102740755343,10.0,,6.6,64.3,4.0,94.0,112.4,16.0,14.8,92.21076136762738,17.2,8.0,1.0,23.7,22.3,1.0,727.8,,0,Q3
30.0,Female,Germany,Cologne,6.3,34.0,45.0,19.2,29.3,11.0,19.0,74.82,1.0,54.1,3.3,46.0,5.0,4.0,96.9,41.3,1.0,1676.51,3091.0,0,Q1
36.0,Other,Australia,Melbourne,2.7,18.0,36.0,14.3,43.2,6.0,24.0,73.35,16.0,1.9,0.3,44.1,3.0,5.0,42.1,,2.0,1963.75,4082.0,0,Q1
35.0,Male,UK,London,3.0,15.0,33.2,10.8,26.2,1.0,19.0,216.3,52.0,47.7,0.9,29.7,4.0,1.0,32.4,22.6,1.0,3568.35,,0,Q2
45.0,Male,Germany,Frankfurt,6.4,2.0,20.7,6.3,57.9,2.0,5.0,174.89,22.0,50.3,,18.3,8.0,3.0,38.8,17.1,2.0,1012.21,894.0,0,Q3
47.0,Female,USA,Houston,1.9,13.0,29.3,11.4,49.6,2.0,15.0,145.48,9.0,64.5,7.3,18.8,4.0,0.0,,18.4,2.0,2462.12,3787.0,0,Q3
26.0,Male,USA,Phoenix,7.3,8.0,20.1,7.0,75.2,3.0,9.1,167.61,48.0,88.44,,12.4,4.0,4.0,11.3,18.6,2.0,1247.15,714.0,0,Q4
31.0,Female,France,Marseille,0.8,14.0,31.6,8.7,40.3,5.0,8.0,187.88,12.0,9.6,2.9,23.4,9.0,4.0,27.7,12.6,2.0,1405.31,934.0,0,Q1
51.0,Male,UK,Leeds,1.0,20.0,28.5,9.9,42.1,2.0,18.2,196.32,15.0,14.16,7.4,23.5,3.0,2.0,22.4,19.7,1.0,2383.49,,0,Q4
61.0,Female,Australia,Perth,0.7,1.0,,7.3,73.0,3.0,10.0,109.88,32.0,9.1,4.8,23.1,5.0,1.0,,11.8,5.0,1155.53,1689.0,0,Q3
53.0,Male,USA,Phoenix,1.0,24.0,17.9,,63.3,5.0,12.0,106.39,53.0,28.7,4.0,2.4,5.0,1.0,9.8,18.0,,1156.9,3360.0,0,Q1
54.0,Male,France,Lyon,1.8,0.0,24.9,4.5,52.2,2.0,5.0,95.12,,10.2,,12.3,5.0,3.0,0.0,15.6,5.0,403.7,1029.0,0,Q1
29.0,Male,Germany,Hamburg,3.4,15.0,35.5,10.4,70.5,,15.0,78.43,26.0,16.9,,15.4,7.0,,61.9,23.2,3.0,1351.98,3005.0,0,Q3
43.0,Male,Australia,Adelaide,8.3,12.0,37.5,9.2,47.4,4.0,16.0,116.89,2.0,58.0,4.3,27.2,5.0,6.0,47.3,26.4,2.0,1799.25,1150.0,0,Q2
38.0,Male,Germany,Frankfurt,3.0,5.0,24.0,2.5,74.0,5.0,20.8,56.86,6.0,37.08,4.7,6.8,8.0,1.0,15.0,14.9,3.0,846.03,305.0,0,Q4
45.0,Male,USA,New York,1.2,9.0,,5.9,71.7,0.0,8.0,131.91,14.0,13.6,4.0,14.5,7.0,,,6.8,1.0,982.94,,0,Q3
18.0,Female,Australia,Perth,2.7,10.0,21.2,10.7,41.5,,12.0,101.43,154.0,62.8,14.2,25.9,8.0,4.0,33.9,22.8,3.0,1456.83,2378.0,0,Q1
45.0,Male,Australia,Brisbane,0.9,17.0,26.1,6.2,59.7,2.0,9.0,54.07,26.0,50.1,,25.2,5.0,1.0,0.0,26.1,3.0,448.94,3110.0,0,Q3
22.0,Male,Germany,Hamburg,1.0,25.0,34.1,10.9,39.5,7.0,19.5,108.4,28.0,47.76,6.2,15.2,4.0,2.0,22.7,31.1,3.0,1698.9,3431.0,0,Q4
26.0,Male,India,Chennai,2.3,21.0,30.2,10.0,47.9,3.0,12.0,101.46,9.0,46.6,4.0,14.3,3.0,3.0,41.0,17.1,2.0,1156.45,1787.0,0,Q1
44.0,Male,Australia,Adelaide,1.7,25.0,33.7,6.2,54.3,1.0,12.0,74.35,4.0,36.8,7.1,20.0,6.0,2.0,30.8,15.8,3.0,724.82,1407.0,0,Q1
29.0,Female,France,Paris,0.9,10.0,19.6,7.0,54.8,2.0,7.0,188.76,32.0,31.3,0.5,30.6,7.0,1.0,19.5,,3.0,1503.28,698.0,0,Q3
24.0,Female,USA,Houston,5.5,17.0,34.7,8.8,54.6,5.0,10.0,104.72,9.0,30.7,7.0,24.1,4.0,3.0,10.0,22.4,1.0,987.32,,0,Q3
35.0,Male,USA,Chicago,0.7,24.0,20.6,3.5,71.5,2.0,11.0,119.1,47.0,25.5,1.9,5.5,9.0,3.0,0.3,11.9,2.0,1402.99,1401.0,0,Q1
27.0,Male,USA,New York,10.0,28.0,38.2,10.9,42.0,12.0,17.0,115.13,4.0,33.9,15.4,59.9,3.0,6.0,51.8,30.5,2.0,1804.45,3434.0,0,Q1
41.0,Female,France,Toulouse,2.4,17.0,45.8,10.7,51.6,6.0,18.0,57.63,18.0,29.1,7.2,45.0,4.0,4.0,46.2,37.1,4.0,1025.16,310.0,0,Q3
26.0,Female,UK,London,9.8,10.0,16.8,9.4,69.7,1.0,13.0,116.7,43.0,78.48,2.1,29.0,3.0,2.0,36.9,,1.0,1301.29,2410.0,0,Q4
18.0,Female,France,Nice,1.2,10.0,24.1,12.1,47.9,6.0,19.5,128.69,1.0,,3.6,21.3,3.0,1.0,52.9,26.4,1.0,1966.28,3299.0,0,Q4
38.0,Female,USA,Phoenix,1.1,11.0,22.0,5.2,46.8,3.0,8.0,192.76,18.0,56.9,0.5,7.3,6.0,1.0,1.4,17.8,4.0,1440.09,1473.0,0,Q1
39.0,Male,USA,New York,2.6,0.0,22.7,5.1,66.2,,16.0,102.11,,39.2,6.6,4.3,4.0,1.0,10.4,4.0,4.0,1896.16,994.0,0,Q3
41.0,Female,Japan,Osaka,0.8,15.0,28.2,9.2,51.2,6.0,13.0,85.85,61.0,40.4,,10.9,5.0,2.0,26.0,18.3,1.0,1101.59,542.0,0,Q2
38.0,Female,Germany,Munich,2.0,8.0,42.7,6.8,30.9,4.0,11.0,137.81,8.0,55.6,9.2,31.5,10.0,2.0,49.4,27.0,3.0,1613.0,3481.0,0,Q1
34.0,Male,USA,New York,1.0,11.0,20.6,5.0,56.7,,9.0,121.29,8.0,,2.3,24.3,6.0,1.0,34.5,17.9,4.0,1024.94,1407.0,0,Q3
42.0,Male,Canada,Montreal,3.6,3.0,,9.3,78.0,4.0,3.9,112.57,2.0,45.24,5.4,8.2,3.0,1.0,16.8,15.9,,284.08,0.0,0,Q4
49.0,Female,USA,Houston,3.1,8.0,15.4,,59.1,2.0,7.0,58.21,15.0,61.7,1.0,15.1,8.0,3.0,9.5,8.0,1.0,466.61,,0,Q1
27.0,Female,USA,Phoenix,3.0,8.0,19.9,2.8,57.3,4.0,10.4,174.95,4.0,37.2,,,4.0,1.0,9.1,9.2,3.0,1623.66,1793.0,0,Q4
18.0,Male,India,Delhi,2.0,8.0,19.1,6.6,42.3,2.0,11.7,74.46,34.0,46.92,3.8,33.3,12.0,3.0,24.5,11.9,1.0,628.89,520.0,0,Q4
37.0,Male,UK,Glasgow,4.7,14.0,24.7,8.7,74.4,5.0,11.0,83.63,3.0,48.3,8.0,18.8,5.0,2.0,38.1,17.6,2.0,838.68,3023.0,0,Q1
53.0,Male,Australia,Perth,1.5,4.0,31.4,8.5,67.0,6.0,12.0,96.3,0.0,23.7,16.4,19.4,9.0,4.0,13.9,27.4,2.0,1084.77,1026.0,0,Q1
49.0,Female,UK,Glasgow,1.6,10.0,27.7,11.1,64.5,5.0,11.0,110.55,18.0,46.0,4.0,23.2,10.0,,23.2,,5.0,1322.45,,0,Q3
52.0,Other,USA,Houston,4.2,20.0,33.1,13.4,50.6,8.0,15.0,134.1,6.0,7.8,2.7,51.0,4.0,5.0,,25.8,1.0,2388.19,3758.0,0,Q1
38.0,Female,Germany,Munich,2.1,0.0,17.8,1.1,62.0,2.0,8.0,152.19,15.0,47.8,1.4,0.0,9.0,2.0,0.0,13.4,,1137.54,,0,Q3
45.0,Male,USA,Houston,2.2,9.0,28.4,7.0,71.2,7.0,14.0,112.9,,1.9,4.1,10.2,6.0,3.0,,7.4,3.0,1369.08,2962.0,0,Q1
39.0,Female,USA,Chicago,0.4,19.0,34.1,7.9,41.6,6.0,14.0,76.31,1.0,60.1,1.9,18.2,7.0,4.0,29.2,25.9,,1005.44,1569.0,0,Q1
30.0,Female,USA,Chicago,4.0,3.0,,7.6,64.7,8.0,10.0,76.89,39.0,21.5,8.0,6.0,4.0,2.0,8.2,14.3,4.0,664.17,3997.0,0,Q2
39.0,Male,France,Toulouse,1.6,35.0,63.8,21.5,13.3,10.0,32.5,82.49,6.0,89.28,5.1,51.7,1.0,5.0,77.5,48.1,2.0,2095.19,,0,Q4
40.0,Female,Canada,Calgary,1.3,13.0,41.6,13.6,43.1,8.0,22.0,63.89,36.0,22.0,2.3,30.8,5.0,5.0,50.7,32.2,3.0,1593.87,,0,Q3
35.0,Male,Canada,Vancouver,1.7,12.0,28.6,7.6,75.8,,8.0,51.83,22.0,51.3,15.0,13.0,4.0,1.0,43.5,19.9,3.0,420.89,2110.0,0,Q2
29.0,Female,USA,New York,2.7,13.0,29.8,4.5,51.0,6.0,13.0,124.29,51.0,10.44,22.9,1.2,6.0,1.0,43.9,17.1,3.0,1213.5,1662.0,0,Q4
29.0,Male,Canada,Toronto,2.7,33.0,61.2,16.2,28.9,10.0,27.0,136.32,45.0,42.8,3.6,54.3,2.0,8.0,90.9,34.0,2.0,3911.12,4481.0,0,Q3
49.0,Male,Germany,Munich,4.3,6.0,35.0,10.2,50.1,4.0,23.0,107.39,23.0,31.8,6.0,11.8,5.0,2.0,,31.2,3.0,2692.01,870.0,0,Q1
53.0,Female,Australia,Sydney,4.1,14.0,34.3,11.8,50.2,6.0,15.0,149.7,27.0,1.4,5.3,25.1,4.0,8.0,33.2,12.5,1.0,2223.1,1892.0,0,Q1
